Company_Brand,HeadQuarter,Sector,What_it_does,Amount,Stage,Stage_category,Funding_year,Sector_category
Aqgromalin,Chennai,AgriTech,Cultivating Ideas for Profit,2000000.0,Undisclosed,Others,2020,Information Technology
Krayonnz,Bangalore,EdTech,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,1000000.0,Pre-seed,Pre-seed,2020,Information Technology
PadCare Labs,Pune,Hygiene management,Converting bio-hazardous waste to harmless waste,0.0,Pre-seed,Pre-seed,2020,unknown
NCOME,New Delhi,Escrow,Escrow-as-a-service platform,4000000.0,Undisclosed,Others,2020,Financials
Gramophone,Indore,AgriTech,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,3400000.0,Undisclosed,Others,2020,Information Technology
qZense,Bangalore,AgriTech,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,6000000.0,Seed,Seed,2020,Information Technology
MyClassboard,Hyderabad,EdTech,MyClassboard is a full-fledged School / College Management Software.,6000000.0,Pre-series A,Pre-seed,2020,Information Technology
Metvy,Gurgaon,Networking platform,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,0.0,Pre-series,Pre-seed,2020,Information Technology
Rupeek,Bangalore,FinTech,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.",450000000.0,Series C,"Series B,C,D&E",2020,Financials
Gig India,Pune,Crowdsourcing,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,10000000.0,Pre-series A,Pre-seed,2020,unknown
Slurrp Farm,Gurgaon,Food & Bevarages,Slurrp Farm is a children health food brand.,20000000.0,Series A,Series A,2020,Consumer Discretionary
Medfin,Bangalore,HealthTech,Medfin is a Discovery platform for medical procedures and financing.,0.0,Series A,Series A,2020,Health Care
MasterG,New Delhi,Fashion startup,MasterG is a design and skill development organisation.,0.0,Undisclosed,Others,2020,Consumer Discretionary
Brila 91,New Delhi,Food & Bevarages,Bira 91 is a craft beer company.,12000000.0,Undisclosed,Others,2020,Consumer Discretionary
Zomato,Gurgaon,Food Delivery,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants,6600000000.0,Undisclosed,Others,2020,Consumer Discretionary
OurEye.ai,Bangalore,Virtual auditing startup,"Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control, leveraging CCTV infrastructure.",1200000.0,Undisclosed,Others,2020,Consumer Discretionary
Shiprocket,New Delhi,E-commerce,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,75000000.0,Series C,"Series B,C,D&E",2020,Consumer Discretionary
Pine Labs,Noida,FinTech,A merchant platform company that provides financing and last-mile retail transaction technology to merchants.,0.0,Undisclosed,Others,2020,Financials
Moneyboxx Finance,New Delhi,FinTech,MONEYBOXX FINANCE LTD is committed to providing easy access to financing to the deserving micro enterprises in the tier 2 and tier 3 cities of India,10000000.0,Undisclosed,Others,2020,Financials
EWar,Bangalore,Gaming,EWar Games is a e-sports and real-time gaming start-up.,0.0,Pre-series A,Pre-seed,2020,Consumer Discretionary
